subjectID,purebred,breed,age,sex,desexed,training,condition_order,condition,trial,location,correct
messerli_md1_067,Yes,Samoyed,5,F,Yes,2.25,non_first,nonostensive,4,R,0
messerli_md1_067,Yes,Samoyed,5,F,Yes,2.25,non_first,nonostensive,5,L,0
messerli_md1_067,Yes,Samoyed,5,F,Yes,2.25,non_first,nonostensive,6,L,1
messerli_md1_067,Yes,Samoyed,5,F,Yes,2.25,non_first,nonostensive,7,R,1
messerli_md1_067,Yes,Samoyed,5,F,Yes,2.25,non_first,nonostensive,8,R,0
messerli_md1_068,Yes,White Swiss Shepherd Dog,6,F,No,2.125,non_first,nonostensive,1,R,1
messerli_md1_068,Yes,White Swiss Shepherd Dog,6,F,No,2.125,non_first,nonostensive,2,L,1
messerli_md1_068,Yes,White Swiss Shepherd Dog,6,F,No,2.125,non_first,nonostensive,3,R,1
messerli_md1_068,Yes,White Swiss Shepherd Dog,6,F,No,2.125,non_first,nonostensive,4,L,1
messerli_md1_068,Yes,White Swiss Shepherd Dog,6,F,No,2.125,non_first,nonostensive,5,L,0
messerli_md1_068,Yes,White Swiss Shepherd Dog,6,F,No,2.125,non_first,nonostensive,6,R,1
messerli_md1_068,Yes,White Swiss Shepherd Dog,6,F,No,2.125,non_first,nonostensive,7,L,1
messerli_md1_068,Yes,White Swiss Shepherd Dog,6,F,No,2.125,non_first,nonostensive,8,R,0
messerli_md1_069,Yes,Samoyed,0,M,No,2,non_first,nonostensive,1,L,0
messerli_md1_069,Yes,Samoyed,0,M,No,2,non_first,nonostensive,2,R,1
messerli_md1_069,Yes,Samoyed,0,M,No,2,non_first,nonostensive,3,L,0
messerli_md1_069,Yes,Samoyed,0,M,No,2,non_first,nonostensive,4,R,1
messerli_md1_069,Yes,Samoyed,0,M,No,2,non_first,nonostensive,5,L,0
messerli_md1_069,Yes,Samoyed,0,M,No,2,non_first,nonostensive,6,L,0
messerli_md1_069,Yes,Samoyed,0,M,No,2,non_first,nonostensive,7,R,1
messerli_md1_069,Yes,Samoyed,0,M,No,2,non_first,nonostensive,8,R,1
messerli_md1_070,Yes,Samoyed,2,M,No,1.5,non_first,nonostensive,1,R,1
messerli_md1_070,Yes,Samoyed,2,M,No,1.5,non_first,nonostensive,2,L,0
messerli_md1_070,Yes,Samoyed,2,M,No,1.5,non_first,nonostensive,3,R,1
messerli_md1_070,Yes,Samoyed,2,M,No,1.5,non_first,nonostensive,4,L,0
messerli_md1_070,Yes,Samoyed,2,M,No,1.5,non_first,nonostensive,5,L,0
messerli_md1_070,Yes,Samoyed,2,M,No,1.5,non_first,nonostensive,6,R,0
messerli_md1_070,Yes,Samoyed,2,M,No,1.5,non_first,nonostensive,7,L,0
messerli_md1_070,Yes,Samoyed,2,M,No,1.5,non_first,nonostensive,8,R,1
messerli_md1_071,Yes,Rhodesian_Ridgeback,11,M,Yes,2.625,ost_first,ostensive,1,L,1
messerli_md1_071,Yes,Rhodesian_Ridgeback,11,M,Yes,2.625,ost_first,ostensive,2,R,0
messerli_md1_071,Yes,Rhodesian_Ridgeback,11,M,Yes,2.625,ost_first,ostensive,3,L,1
messerli_md1_071,Yes,Rhodesian_Ridgeback,11,M,Yes,2.625,ost_first,ostensive,4,R,0
messerli_md1_071,Yes,Rhodesian_Ridgeback,11,M,Yes,2.625,ost_first,ostensive,5,L,1
messerli_md1_071,Yes,Rhodesian_Ridgeback,11,M,Yes,2.625,ost_first,ostensive,6,L,1
messerli_md1_071,Yes,Rhodesian_Ridgeback,11,M,Yes,2.625,ost_first,ostensive,7,R,0
messerli_md1_071,Yes,Rhodesian_Ridgeback,11,M,Yes,2.625,ost_first,ostensive,8,R,0
messerli_md1_072,Yes,Rhodesian_Ridgeback,11,F,Yes,1.875,ost_first,ostensive,1,R,0
messerli_md1_072,Yes,Rhodesian_Ridgeback,11,F,Yes,1.875,ost_first,ostensive,2,L,1
messerli_md1_072,Yes,Rhodesian_Ridgeback,11,F,Yes,1.875,ost_first,ostensive,3,L,1
messerli_md1_072,Yes,Rhodesian_Ridgeback,11,F,Yes,1.875,ost_first,ostensive,4,R,0
messerli_md1_072,Yes,Rhodesian_Ridgeback,11,F,Yes,1.875,ost_first,ostensive,5,L,1
messerli_md1_072,Yes,Rhodesian_Ridgeback,11,F,Yes,1.875,ost_first,ostensive,6,R,0
messerli_md1_072,Yes,Rhodesian_Ridgeback,11,F,Yes,1.875,ost_first,ostensive,7,R,0
messerli_md1_072,Yes,Rhodesian_Ridgeback,11,F,Yes,1.875,ost_first,ostensive,8,L,1
messerli_md1_073,Yes,JP_Russell_Terrier,11,F,Yes,2.875,ost_first,ostensive,1,R,1
messerli_md1_073,Yes,JP_Russell_Terrier,11,F,Yes,2.875,ost_first,ostensive,2,L,1
messerli_md1_073,Yes,JP_Russell_Terrier,11,F,Yes,2.875,ost_first,ostensive,3,L,1
messerli_md1_073,Yes,JP_Russell_Terrier,11,F,Yes,2.875,ost_first,ostensive,4,R,0
messerli_md1_073,Yes,JP_Russell_Terrier,11,F,Yes,2.875,ost_first,ostensive,5,L,1
